day_of_crash,hour_of_crash,crash_count
Monday,0,385
Tuesday,0,333
Wednesday,0,367
Thursday,0,391
Friday,0,436
Saturday,0,526
Sunday,0,510
Monday,1,200
Tuesday,1,134
Wednesday,1,154
Thursday,1,144
Friday,1,200
Saturday,1,330
Sunday,1,312
Monday,2,126
Tuesday,2,88
Wednesday,2,129
Thursday,2,116
Friday,2,150
Saturday,2,259
Sunday,2,271
Monday,3,112
Tuesday,3,96
Wednesday,3,106
Thursday,3,78
Friday,3,111
Saturday,3,232
Sunday,3,254
Monday,4,117
Tuesday,4,78
Wednesday,4,103
Thursday,4,118
Friday,4,115
Saturday,4,212
Sunday,4,232
Monday,5,142
Tuesday,5,159
Wednesday,5,176
Thursday,5,148
Friday,5,178
Saturday,5,180
Sunday,5,195
Monday,6,310
Tuesday,6,294
Wednesday,6,258
Thursday,6,316
Friday,6,315
Saturday,6,193
Sunday,6,182
Monday,7,407
Tuesday,7,433
Wednesday,7,407
Thursday,7,445
Friday,7,383
Saturday,7,223
Sunday,7,165
Monday,8,591
Tuesday,8,643
Wednesday,8,563
Thursday,8,679
Friday,8,648
Saturday,8,323
Sunday,8,231
Monday,9,552
Tuesday,9,576
Wednesday,9,509
Thursday,9,593
Friday,9,638
Saturday,9,330
Sunday,9,241
Monday,10,560
Tuesday,10,531
Wednesday,10,526
Thursday,10,597
Friday,10,555
Saturday,10,403
Sunday,10,353
Monday,11,572
Tuesday,11,572
Wednesday,11,570
Thursday,11,613
Friday,11,596
Saturday,11,484
Sunday,11,396
Monday,12,602
Tuesday,12,578
Wednesday,12,585
Thursday,12,631
Friday,12,651
Saturday,12,543
Sunday,12,464
Monday,13,634
Tuesday,13,601
Wednesday,13,602
Thursday,13,643
Friday,13,693
Saturday,13,753
Sunday,13,532
Monday,14,682
Tuesday,14,719
Wednesday,14,741
Thursday,14,722
Friday,14,815
Saturday,14,722
Sunday,14,615
Monday,15,690
Tuesday,15,654
Wednesday,15,730
Thursday,15,683
Friday,15,781
Saturday,15,602
Sunday,15,537
Monday,16,746
Tuesday,16,799
Wednesday,16,756
Thursday,16,814
Friday,16,870
Saturday,16,668
Sunday,16,566
Monday,17,736
Tuesday,17,750
Wednesday,17,743
Thursday,17,778
Friday,17,804
Saturday,17,624
Sunday,17,539
Monday,18,658
Tuesday,18,693
Wednesday,18,688
Thursday,18,703
Friday,18,800
Saturday,18,628
Sunday,18,526
Monday,19,494
Tuesday,19,509
Wednesday,19,520
Thursday,19,556
Friday,19,628
Saturday,19,569
Sunday,19,462
Monday,20,373
Tuesday,20,444
Wednesday,20,402
Thursday,20,454
Friday,20,574
Saturday,20,484
Sunday,20,407
Monday,21,325
Tuesday,21,326
Wednesday,21,378
Thursday,21,399
Friday,21,472
Saturday,21,455
Sunday,21,356
Monday,22,278
Tuesday,22,339
Wednesday,22,366
Thursday,22,340
Friday,22,430
Saturday,22,439
Sunday,22,365
Monday,23,219
Tuesday,23,264
Wednesday,23,259
Thursday,23,283
Friday,23,428
Saturday,23,419
Sunday,23,292
